episode,mac,el-inge,faerir,heratros
"Legend of the Galactic Heroes: Die Neue These",,,,
"Samurai Champloo",,,,
"Full Moon wo Sagashite / Buscando la Luna llena",,,,
"Adventure Time",3,,,
"Violet Evergarden",6,,,
"Nige Jouzu no Wakagimi / The Elusive Samurai",2,,,
"Koi wa Sekai Seifuku no Ato de",3,,,
"Chi. Chikyuu no Undou ni Tsuite",4,,,
"Wonder Egg Priority",1,,,
"Mieruko-chan",2,,,
"Kanojo, Okarishimasu",2,,,
"Fumetsu no Anata e",4,,,
"Kidou Keisatsu Patlabor",2,,,
"Uma Musume: Cinderella Gray",2,,,
"Kusuriya no Hitorigoto",5,,,
"Dandadan",3,,,
"Yofukashi no Uta",3,,,
"Ore Monogatari!!",4,,,
"High School DxD",2,,,
"Eizouken ni wa Te wo Dasu na!",5,,,
"SK∞",4,,,
"Girls Band Cry",1,,,
"Hai to Gensou no Grimgar",3,,,
"Cyberpunk: Edgerunners",5,,,
"Odd Taxi",5,,,
"Oreimo 2",2,,,
"Ore no Imouto ga Konnani Kawaii Wake ga Nai",2,,,
"Thermae Romae Novae",3,,,
"Pluto",3,,,
"Angel Beats!",4,,,
"Claymore",3,,,
